Year,State/Region,Population,PCPersonalHealthcare,PCHospital,PCPhysician,PCOtherProfessionalService,PCHomeHealth,PCNursing,PCDrugs,PCPersonalIncome,PCEminushealthE,PCGDP,%change in MFP,Average Weekly hours worked,Total Hours Worked,"Labor Productivity (index, 2009 is base year)",Average hours per day spent purchasing goods & services
2003,Alabama,4503,4994,1680,1413,109,120,305,862,26513,18346,34855,2.5,32.7,186.157,89.182,0.81
2004,Alabama,4531,5252,1757,1436,121,141,320,958,28371,19403,36702,2.6,32.7,188.63,91.953,0.82
2005,Alabama,4570,5545,1919,1446,125,161,343,1000,29802,20586,37578,1.5,32.6,191.757,93.861,0.8
2006,Alabama,4629,5755,1980,1451,125,171,353,1103,31315,21322,37735,0.4,32.7,196.156,94.68,0.81
2007,Alabama,4673,5928,2007,1468,132,175,374,1155,32581,22058,37522,0.4,32.7,197.541,96.178,0.78
2008,Alabama,4718,6097,2031,1522,139,183,382,1194,33430,22344,36976,-1.2,32.5,193.44,96.951,0.77
2009,Alabama,4758,6325,2158,1551,143,193,376,1260,32685,21625,35376,-0.2,31.9,179.559,100,0.76
2010,Alabama,4785,6421,2201,1563,147,199,380,1259,33697,22304,35913,2.9,32.3,179.413,103.278,0.75
2011,Alabama,4800,6541,2248,1607,148,201,386,1242,34708,23136,36201,0.2,32.4,183.109,103.422,0.72
2012,Alabama,4816,6821,2440,1662,157,199,385,1272,35482,23490,36425,0.6,32.5,187.157,104.341,0.72
2013,Alabama,4829,6996,2573,1666,167,197,387,1283,35778,24055,36660,0.5,32.5,190.307,104.656,0.75
2014,Alabama,4843,7281,2625,1739,170,202,391,1407,36879,24637,36455,0.6,32.5,194.555,105.729,0.74
2003,Alaska,648,6099,2410,1756,225,61,163,633,35591,27139,59008,2.5,32.7,186.157,89.182,0.81
2004,Alaska,659,6455,2527,1911,250,93,166,645,36791,28584,60137,2.6,32.7,188.63,91.953,0.82
2005,Alaska,667,7145,2906,2075,263,98,167,683,38876,30159,61125,1.5,32.6,191.757,93.861,0.8
2006,Alaska,675,7476,3131,2128,264,92,166,739,40845,31440,64349,0.4,32.7,196.156,94.68,0.81
2007,Alaska,680,7975,3364,2241,295,83,172,781,43723,32738,67228,0.4,32.7,197.541,96.178,0.78
2008,Alaska,687,8447,3659,2324,322,90,171,763,47791,34061,67527,-1.2,32.5,193.44,96.951,0.77
2009,Alaska,699,8745,3815,2467,343,112,170,720,46834,33165,72204,-0.2,31.9,179.559,100,0.76
2010,Alaska,714,9129,3996,2598,341,147,171,680,48613,33937,69564,2.9,32.3,179.413,103.278,0.75
2011,Alaska,723,9586,4112,2822,378,183,173,664,51405,35380,70573,0.2,32.4,183.109,103.422,0.72
2012,Alaska,731,10130,4198,3069,406,222,179,640,52648,35997,73478,0.6,32.5,187.157,104.341,0.72
2013,Alaska,737,10428,4379,3179,435,210,188,584,51455,36873,69700,0.5,32.5,190.307,104.656,0.75
2014,Alaska,737,11064,4715,3368,465,195,204,640,54625,38099,67188,0.6,32.5,194.555,105.729,0.74
2003,Arizona,5510,4077,1401,1127,139,101,181,577,28166,21291,40769,2.5,32.7,186.157,89.182,0.81
2004,Arizona,5652,4387,1492,1212,158,112,184,622,29978,22716,41063,2.6,32.7,188.63,91.953,0.82
2005,Arizona,5839,4828,1739,1276,166,121,193,672,32288,24193,43018,1.5,32.6,191.757,93.861,0.8
2006,Arizona,6029,5103,1796,1322,176,116,198,758,34705,25774,44086,0.4,32.7,196.156,94.68,0.81
2007,Arizona,6168,5410,1897,1388,189,116,217,808,35751,26826,44168,0.4,32.7,197.541,96.178,0.78
2008,Arizona,6280,5660,1981,1478,203,129,232,814,35717,26428,41800,-1.2,32.5,193.44,96.951,0.77
2009,Arizona,6343,5874,2125,1532,208,134,235,785,33746,25099,38232,-0.2,31.9,179.559,100,0.76
2010,Arizona,6408,6027,2223,1566,211,125,258,768,33558,25606,37935,2.9,32.3,179.413,103.278,0.75
2011,Arizona,6467,6076,2206,1653,221,135,276,779,34921,26486,38257,0.2,32.4,183.109,103.422,0.72
2012,Arizona,6550,6183,2267,1693,225,141,284,759,36066,26894,38559,0.6,32.5,187.157,104.341,0.72
2013,Arizona,6625,6262,2334,1713,235,137,284,727,36558,27464,38303,0.5,32.5,190.307,104.656,0.75
2014,Arizona,6720,6452,2337,1774,248,136,286,814,38050,28350,38450,0.6,32.5,194.555,105.729,0.74
2003,Arkansas,2725,4616,1777,1091,136,115,338,686,25467,17550,33678,2.5,32.7,186.157,89.182,0.81
2004,Arkansas,2750,4899,1844,1181,146,111,351,735,26807,18526,34936,2.6,32.7,188.63,91.953,0.82
2005,Arkansas,2781,5254,1958,1287,150,115,374,795,27952,19612,35649,1.5,32.6,191.757,93.861,0.8
2006,Arkansas,2822,5469,2011,1334,153,104,385,887,29308,20546,35803,0.4,32.7,196.156,94.68,0.81
2007,Arkansas,2849,5766,2077,1395,173,106,410,968,30972,21721,35205,0.4,32.7,197.541,96.178,0.78
2008,Arkansas,2875,6000,2190,1427,185,118,415,996,32141,21787,34957,-1.2,32.5,193.44,96.951,0.77
2009,Arkansas,2897,6238,2297,1424,189,136,422,1055,31372,21170,33837,-0.2,31.9,179.559,100,0.76
2010,Arkansas,2922,6412,2357,1399,202,148,433,1055,31798,21653,34671,2.9,32.3,179.413,103.278,0.75
2011,Arkansas,2939,6585,2407,1449,220,157,434,1057,33780,22579,35146,0.2,32.4,183.109,103.422,0.72
2012,Arkansas,2951,6804,2530,1485,231,172,439,1036,36149,23016,34965,0.6,32.5,187.157,104.341,0.72
2013,Arkansas,2959,6929,2558,1497,246,170,440,1047,35985,23570,35865,0.5,32.5,190.307,104.656,0.75
2014,Arkansas,2967,7408,2673,1635,262,181,440,1169,37980,24068,36274,0.6,32.5,194.555,105.729,0.74
2003,California,35253,4489,1520,1307,171,138,214,585,35234,24016,49501,2.5,32.7,186.157,89.182,0.81
2004,California,35575,4781,1615,1389,177,158,219,620,37551,25437,51520,2.6,32.7,188.63,91.953,0.82
2005,California,35828,5107,1709,1508,174,183,230,660,39521,26920,53320,1.5,32.6,191.757,93.861,0.8
2006,California,36021,5397,1812,1549,182,200,247,729,42334,28487,54842,0.4,32.7,196.156,94.68,0.81
2007,California,36250,5776,1898,1676,196,229,265,783,43692,29772,55154,0.4,32.7,197.541,96.178,0.78
2008,California,36604,6038,2015,1734,208,233,285,809,44162,29852,54454,-1.2,32.5,193.44,96.951,0.77
2009,California,36961,6210,2134,1730,214,240,308,829,42224,28208,51733,-0.2,31.9,179.559,100,0.76
2010,California,37333,6480,2310,1809,208,245,324,826,43317,28924,51871,2.9,32.3,179.413,103.278,0.75
2011,California,37677,6737,2451,1852,205,256,341,843,45849,30013,52099,0.2,32.4,183.109,103.422,0.72
2012,California,38011,7018,2561,1877,209,275,352,846,48369,30879,52974,0.6,32.5,187.157,104.341,0.72
2013,California,38335,7256,2695,1897,209,287,360,875,48570,31400,53855,0.5,32.5,190.307,104.656,0.75
2014,California,38681,7549,2753,1983,217,291,383,955,51344,32695,55598,0.6,32.5,194.555,105.729,0.74
2003,Colorado,4529,4569,1543,1304,201,87,247,522,35132,26066,50743,2.5,32.7,186.157,89.182,0.81
2004,Colorado,4575,4831,1669,1348,204,93,256,549,35947,27201,50083,2.6,32.7,188.63,91.953,0.82
2005,Colorado,4632,4937,1700,1357,200,97,278,581,38025,28540,51473,1.5,32.6,191.757,93.861,0.8
2006,Colorado,4720,5264,1834,1467,203,97,279,648,40143,29598,51515,0.4,32.7,196.156,94.68,0.81
2007,Colorado,4804,5522,1952,1449,218,127,306,695,41996,30483,52094,0.4,32.7,197.541,96.178,0.78
2008,Colorado,4890,5685,2049,1476,236,129,326,668,42663,30687,51651,-1.2,32.5,193.44,96.951,0.77
2009,Colorado,4972,5882,2209,1481,235,141,344,641,39838,29373,49731,-0.2,31.9,179.559,100,0.76
2010,Colorado,5049,5979,2326,1468,248,152,356,599,39926,29851,49254,2.9,32.3,179.413,103.278,0.75
2011,Colorado,5118,6129,2363,1509,272,162,371,601,42955,31169,49285,0.2,32.4,183.109,103.422,0.72
2012,Colorado,5190,6306,2439,1523,286,173,379,611,45089,31902,49639,0.6,32.5,187.157,104.341,0.72
2013,Colorado,5268,6472,2600,1516,304,181,383,605,46824,32647,50475,0.5,32.5,190.307,104.656,0.75
2014,Colorado,5350,6804,2739,1602,325,192,385,681,49952,34246,52064,0.6,32.5,194.555,105.729,0.74
2003,Connecticut,3484,6226,1852,1455,220,207,720,908,45468,28233,61419,2.5,32.7,186.157,89.182,0.81
2004,Connecticut,3496,6739,2001,1575,233,218,733,993,47710,30008,65034,2.6,32.7,188.63,91.953,0.82
2005,Connecticut,3507,6997,2021,1550,237,227,779,1201,50226,31917,66032,1.5,32.6,191.757,93.861,0.8
2006,Connecticut,3517,7391,2211,1647,239,223,804,1216,54191,33653,67458,0.4,32.7,196.156,94.68,0.81
2007,Connecticut,3527,7793,2310,1758,261,232,852,1294,57919,34906,70096,0.4,32.7,197.541,96.178,0.78
2008,Connecticut,3546,8219,2450,1853,276,246,873,1301,61232,35348,68777,-1.2,32.5,193.44,96.951,0.77
2009,Connecticut,3562,8740,2684,1909,288,251,862,1347,60428,33951,65574,-0.2,31.9,179.559,100,0.76
2010,Connecticut,3580,8863,2830,1938,288,255,858,1308,62126,34610,64906,2.9,32.3,179.413,103.278,0.75
2011,Connecticut,3590,8950,2981,1995,290,267,858,1313,63849,35596,63638,0.2,32.4,183.109,103.422,0.72
2012,Connecticut,3594,9300,3115,2093,298,266,847,1309,65032,36208,63502,0.6,32.5,187.157,104.341,0.72
2013,Connecticut,3596,9517,3268,2103,304,278,842,1350,64131,37053,62550,0.5,32.5,190.307,104.656,0.75
2014,Connecticut,3592,9859,3326,2186,322,296,854,1476,66558,38642,62171,0.6,32.5,194.555,105.729,0.74
2003,Delaware,818,6164,2142,1625,196,125,381,881,38187,25124,67956,2.5,32.7,186.157,89.182,0.81
2004,Delaware,831,6618,2305,1682,213,128,435,954,39000,26507,69500,2.6,32.7,188.63,91.953,0.82
2005,Delaware,845,6980,2527,1722,226,141,472,984,39469,27898,67525,1.5,32.6,191.757,93.861,0.8
2006,Delaware,859,7315,2672,1768,220,156,460,1111,41343,29082,67857,0.4,32.7,196.156,94.68,0.81
2007,Delaware,872,7726,2861,1837,235,159,524,1158,41834,30125,66344,0.4,32.7,197.541,96.178,0.78
2008,Delaware,884,8136,2951,1967,249,185,567,1221,41832,30549,62535,-1.2,32.5,193.44,96.951,0.77
2009,Delaware,892,8405,3043,2031,263,203,611,1237,41317,29424,64313,-0.2,31.9,179.559,100,0.76
2010,Delaware,900,8822,3368,2059,282,215,614,1244,41088,30230,62837,2.9,32.3,179.413,103.278,0.75
2011,Delaware,908,9213,3528,2167,296,234,599,1288,43712,31220,63793,0.2,32.4,183.109,103.422,0.72
2012,Delaware,917,9433,3680,2210,325,244,592,1287,43571,31581,62174,0.6,32.5,187.157,104.341,0.72
2013,Delaware,925,9766,3922,2173,340,242,593,1356,43836,32360,60719,0.5,32.5,190.307,104.656,0.75
2014,Delaware,935,10254,4078,2259,348,239,608,1525,45110,33149,63368,0.6,32.5,194.555,105.729,0.74
2003,District of Columbia,569,7661,3694,1611,167,133,562,589,46452,31762,152623,2.5,32.7,186.157,89.182,0.81
2004,District of Columbia,568,8394,4030,1799,170,154,585,673,51060,33681,160065,2.6,32.7,188.63,91.953,0.82
2005,District of Columbia,567,8764,4410,1647,172,194,611,707,53870,35613,163100,1.5,32.6,191.757,93.861,0.8
2006,District of Columbia,571,9003,4541,1646,180,260,626,797,57025,36926,164366,0.4,32.7,196.156,94.68,0.81
2007,District of Columbia,574,9562,4680,1790,189,358,660,890,60325,38854,167668,0.4,32.7,197.541,96.178,0.78
2008,District of Columbia,580,9959,4796,1913,197,443,661,947,62103,40059,170687,-1.2,32.5,193.44,96.951,0.77
2009,District of Columbia,592,10439,4952,1901,194,589,686,1052,59998,37959,166178,-0.2,31.9,179.559,100,0.76
2010,District of Columbia,605,10876,4916,1958,194,521,677,1041,61860,38619,168030,2.9,32.3,179.413,103.278,0.75
2011,District of Columbia,620,11281,5088,2118,204,571,654,1031,65775,39833,166870,0.2,32.4,183.109,103.422,0.72
2012,District of Columbia,635,11223,5113,2181,213,545,632,1021,66595,40504,163274,0.6,32.5,187.157,104.341,0.72
2013,District of Columbia,649,11466,5181,2306,213,600,593,1034,66540,41021,159497,0.5,32.5,190.307,104.656,0.75
2014,District of Columbia,659,11944,5233,2457,223,653,583,1171,70041,42808,159745,0.6,32.5,194.555,105.729,0.74
2003,Far West,49053,4574,1548,1320,175,120,221,598,34601,23994,48705,2.5,32.7,186.157,89.182,0.81
2004,Far West,49602,4867,1645,1404,183,139,228,633,36824,25421,50640,2.6,32.7,188.63,91.953,0.82
2005,Far West,50090,5196,1750,1515,184,159,241,673,38660,26882,52439,1.5,32.6,191.757,93.861,0.8
2006,Far West,50571,5484,1852,1562,193,173,255,743,41297,28402,53932,0.4,32.7,196.156,94.68,0.81
2007,Far West,51031,5856,1958,1666,209,198,274,794,42793,29607,54469,0.4,32.7,197.541,96.178,0.78
2008,Far West,51609,6127,2086,1724,222,204,294,813,43450,29736,53881,-1.2,32.5,193.44,96.951,0.77
2009,Far West,52168,6327,2216,1736,229,212,316,827,41414,28207,51328,-0.2,31.9,179.559,100,0.76
2010,Far West,52695,6563,2371,1799,227,217,331,817,42315,28900,51610,2.9,32.3,179.413,103.278,0.75
2011,Far West,53186,6797,2490,1848,226,227,349,829,44619,29992,51881,0.2,32.4,183.109,103.422,0.72
2012,Far West,53681,7068,2609,1876,232,245,362,829,47051,30840,52478,0.6,32.5,187.157,104.341,0.72
2013,Far West,54159,7302,2733,1902,237,255,370,851,47259,31451,53032,0.5,32.5,190.307,104.656,0.75
2014,Far West,54689,7629,2817,1997,245,261,389,931,49965,32716,54388,0.6,32.5,194.555,105.729,0.74
2003,Florida,17004,5336,1712,1498,184,179,347,833,32144,22034,40983,2.5,32.7,186.157,89.182,0.81
2004,Florida,17415,5690,1801,1593,195,201,353,915,34063,23383,41736,2.6,32.7,188.63,91.953,0.82
2005,Florida,17842,5957,1882,1659,213,222,361,962,36268,24932,43326,1.5,32.6,191.757,93.861,0.8
2006,Florida,18167,6284,1992,1728,214,237,374,1040,38738,26413,43926,0.4,32.7,196.156,94.68,0.81
2007,Florida,18368,6585,2079,1796,230,259,406,1070,39788,27186,43506,0.4,32.7,197.541,96.178,0.78
2008,Florida,18527,6854,2138,1917,253,278,423,1092,39655,27041,41241,-1.2,32.5,193.44,96.951,0.77
2009,Florida,18653,7134,2306,1959,266,291,440,1133,37065,25830,38695,-0.2,31.9,179.559,100,0.76
2010,Florida,18849,7301,2408,1959,275,294,460,1141,38626,26541,38604,2.9,32.3,179.413,103.278,0.75
2011,Florida,19097,7408,2404,2042,283,287,494,1143,40494,27572,37876,0.2,32.4,183.109,103.422,0.72
2012,Florida,19344,7635,2559,2105,284,284,492,1125,41000,28105,37705,0.6,32.5,187.157,104.341,0.72
2013,Florida,19582,7688,2592,2117,289,288,492,1096,40797,28867,38023,0.5,32.5,190.307,104.656,0.75
2014,Florida,19889,8076,2732,2192,301,294,489,1232,43064,30052,38477,0.6,32.5,194.555,105.729,0.74
2003,Georgia,8623,4358,1580,1166,132,92,227,685,30647,21269,45453,2.5,32.7,186.157,89.182,0.81
2004,Georgia,8769,4732,1650,1304,141,106,243,753,31856,22145,46599,2.6,32.7,188.63,91.953,0.82
2005,Georgia,8926,4891,1746,1292,150,110,261,780,33266,23361,47610,1.5,32.6,191.757,93.861,0.8
2006,Georgia,9156,5148,1817,1415,156,111,261,832,34665,24219,47013,0.4,32.7,196.156,94.68,0.81
2007,Georgia,9350,5329,1873,1416,172,112,271,854,35516,24948,46374,0.4,32.7,197.541,96.178,0.78
2008,Georgia,9505,5358,1881,1449,177,123,280,857,35306,24901,44239,-1.2,32.5,193.44,96.951,0.77
2009,Georgia,9621,5513,1989,1466,177,134,276,875,34361,23786,42052,-0.2,31.9,179.559,100,0.76
2010,Georgia,9714,5554,2015,1484,188,140,283,848,34643,24423,42029,2.9,32.3,179.413,103.278,0.75
2011,Georgia,9812,5713,2050,1560,192,153,292,850,36669,25578,42140,0.2,32.4,183.109,103.422,0.72
2012,Georgia,9915,6009,2198,1649,201,161,296,841,36863,26109,42191,0.6,32.5,187.157,104.341,0.72
2013,Georgia,9985,6249,2340,1681,206,170,299,855,37172,26797,42500,0.5,32.5,190.307,104.656,0.75
2014,Georgia,10087,6587,2446,1817,211,163,294,938,39129,27796,43465,0.6,32.5,194.555,105.729,0.74
2003,Great Lakes,45708,5153,1923,1199,156,113,391,734,31923,22550,44752,2.5,32.7,186.157,89.182,0.81
2004,Great Lakes,45844,5499,2077,1262,167,126,405,783,33059,23520,45470,2.6,32.7,188.63,91.953,0.82
2005,Great Lakes,45949,5811,2232,1327,177,140,425,790,33994,24561,45894,1.5,32.6,191.757,93.861,0.8
2006,Great Lakes,46072,6153,2390,1397,185,150,440,854,35725,25476,46152,0.4,32.7,196.156,94.68,0.81
2007,Great Lakes,46188,6488,2543,1458,197,166,470,884,37187,26266,46279,0.4,32.7,197.541,96.178,0.78
2008,Great Lakes,46275,6701,2612,1526,211,181,484,895,38351,26701,45045,-1.2,32.5,193.44,96.951,0.77
2009,Great Lakes,46356,7051,2820,1574,216,198,494,932,36826,25859,42881,-0.2,31.9,179.559,100,0.76
2010,Great Lakes,46441,7311,2959,1617,223,213,507,935,37684,26560,44173,2.9,32.3,179.413,103.278,0.75
2011,Great Lakes,46507,7526,3035,1682,235,220,519,962,39892,27665,45116,0.2,32.4,183.109,103.422,0.72
2012,Great Lakes,46573,7834,3233,1755,250,225,529,955,41499,28318,45767,0.6,32.5,187.157,104.341,0.72
2013,Great Lakes,46660,8005,3321,1778,258,233,535,975,42054,28932,46077,0.5,32.5,190.307,104.656,0.75
2014,Great Lakes,46731,8389,3491,1854,274,237,544,1059,43758,29943,47021,0.6,32.5,194.555,105.729,0.74
2003,Hawaii,1251,4750,1747,1299,160,88,220,676,32581,23834,46437,2.5,32.7,186.157,89.182,0.81
2004,Hawaii,1274,5018,1787,1342,176,91,236,791,34511,25320,48373,2.6,32.7,188.63,91.953,0.82
2005,Hawaii,1293,5389,1951,1388,183,115,262,854,36528,27127,50145,1.5,32.6,191.757,93.861,0.8
2006,Hawaii,1310,5555,2009,1458,182,110,277,895,38648,28915,50631,0.4,32.7,196.156,94.68,0.81
2007,Hawaii,1316,6098,2139,1636,208,110,304,978,40441,30181,51245,0.4,32.7,197.541,96.178,0.78
2008,Hawaii,1332,6382,2313,1663,215,111,319,1026,42073,31001,50833,-1.2,32.5,193.44,96.951,0.77
2009,Hawaii,1347,6542,2412,1701,219,117,335,1068,41473,30346,48549,-0.2,31.9,179.559,100,0.76
2010,Hawaii,1364,6496,2421,1709,213,118,334,1021,41724,31098,49418,2.9,32.3,179.413,103.278,0.75
2011,Hawaii,1378,6527,2395,1781,214,121,335,1004,42872,32078,49331,0.2,32.4,183.109,103.422,0.72
2012,Hawaii,1392,6803,2605,1829,218,130,336,1013,44428,33223,49513,0.6,32.5,187.157,104.341,0.72
2013,Hawaii,1406,6955,2689,1850,222,143,346,1037,44639,34070,49539,0.5,32.5,190.307,104.656,0.75
2014,Hawaii,1416,7299,2764,1922,233,163,350,1181,46685,35528,49716,0.6,32.5,194.555,105.729,0.74
2003,Idaho,1363,4252,1561,977,177,83,225,582,26689,19537,34034,2.5,32.7,186.157,89.182,0.81
2004,Idaho,1392,4492,1610,1042,198,89,241,611,28355,20775,34665,2.6,32.7,188.63,91.953,0.82
2005,Idaho,1428,4799,1755,1107,205,96,259,638,29311,22275,35895,1.5,32.6,191.757,93.861,0.8
2006,Idaho,1469,5057,1885,1155,215,94,257,686,31357,23642,36931,0.4,32.7,196.156,94.68,0.81
2007,Idaho,1505,5309,1992,1181,226,104,276,708,32580,24477,37080,0.4,32.7,197.541,96.178,0.78
2008,Idaho,1534,5459,2011,1236,240,113,295,713,33031,24537,36691,-1.2,32.5,193.44,96.951,0.77
2009,Idaho,1554,5700,2162,1263,252,131,318,722,31436,23060,34664,-0.2,31.9,179.559,100,0.76
2010,Idaho,1571,5999,2316,1272,260,146,318,721,31726,23533,34620,2.9,32.3,179.413,103.278,0.75
2011,Idaho,1584,6135,2523,1285,275,151,347,736,33296,24253,34270,0.2,32.4,183.109,103.422,0.72
2012,Idaho,1596,6380,2748,1256,275,165,353,724,34695,24757,34094,0.6,32.5,187.157,104.341,0.72
2013,Idaho,1612,6593,2860,1281,292,170,362,730,35720,25479,34748,0.5,32.5,190.307,104.656,0.75
2014,Idaho,1634,6927,3038,1325,302,178,366,796,37186,26257,35103,0.6,32.5,194.555,105.729,0.74
2003,Illinois,12556,5080,1937,1238,171,98,336,676,34984,23903,49495,2.5,32.7,186.157,89.182,0.81
2004,Illinois,12590,5362,2044,1290,179,110,349,730,36228,25022,50479,2.6,32.7,188.63,91.953,0.82
2005,Illinois,12610,5690,2184,1348,193,121,365,757,37648,26321,51237,1.5,32.6,191.757,93.861,0.8
2006,Illinois,12644,6034,2322,1434,208,129,383,823,40124,27507,52486,0.4,32.7,196.156,94.68,0.81
2007,Illinois,12696,6454,2530,1503,228,142,416,861,42265,28598,52856,0.4,32.7,197.541,96.178,0.78
2008,Illinois,12747,6653,2583,1562,246,159,434,884,43358,28922,51406,-1.2,32.5,193.44,96.951,0.77
2009,Illinois,12797,6917,2698,1613,254,178,444,931,40994,27946,49859,-0.2,31.9,179.559,100,0.76
2010,Illinois,12842,7253,2836,1669,274,201,470,940,41698,28688,50304,2.9,32.3,179.413,103.278,0.75
2011,Illinois,12860,7429,2916,1720,288,214,486,956,43724,29821,51198,0.2,32.4,183.109,103.422,0.72
2012,Illinois,12871,7665,3034,1786,304,217,499,939,45654,30598,52172,0.6,32.5,187.157,104.341,0.72
2013,Illinois,12880,7911,3188,1816,314,219,509,936,46646,31214,51963,0.5,32.5,190.307,104.656,0.75
2014,Illinois,12868,8262,3380,1876,339,218,517,1006,48866,32402,52966,0.6,32.5,194.555,105.729,0.74
2003,Indiana,6197,5028,1859,1162,130,80,407,771,29406,20926,42099,2.5,32.7,186.157,89.182,0.81
2004,Indiana,6233,5407,2045,1243,141,89,426,803,30479,22088,43143,2.6,32.7,188.63,91.953,0.82
2005,Indiana,6279,5637,2124,1325,143,97,459,813,31077,23142,42826,1.5,32.6,191.757,93.861,0.8
2006,Indiana,6333,5986,2288,1407,149,100,478,868,32747,23898,43279,0.4,32.7,196.156,94.68,0.81
2007,Indiana,6380,6279,2455,1438,157,107,512,885,33717,24415,44145,0.4,32.7,197.541,96.178,0.78
2008,Indiana,6425,6413,2478,1486,170,115,525,887,35139,24880,43515,-1.2,32.5,193.44,96.951,0.77
2009,Indiana,6459,6791,2756,1494,176,125,544,922,34084,23936,40572,-0.2,31.9,179.559,100,0.76
2010,Indiana,6491,6987,2857,1545,183,133,547,934,35081,24589,42996,2.9,32.3,179.413,103.278,0.75
2011,Indiana,6516,7286,2999,1625,199,138,554,967,37259,25506,43058,0.2,32.4,183.109,103.422,0.72
2012,Indiana,6538,7848,3375,1729,217,149,560,997,38816,26158,43064,0.6,32.5,187.157,104.341,0.72
2013,Indiana,6569,7923,3320,1788,229,159,562,1031,39148,26568,43866,0.5,32.5,190.307,104.656,0.75
2014,Indiana,6595,8300,3492,1841,242,162,580,1119,40469,27297,44784,0.6,32.5,194.555,105.729,0.74
2003,Iowa,2942,5211,1971,1129,154,92,462,709,29478,20798,41665,2.5,32.7,186.157,89.182,0.81
2004,Iowa,2954,5486,2083,1155,168,98,485,757,31866,22047,44605,2.6,32.7,188.63,91.953,0.82
2005,Iowa,2964,5816,2239,1191,176,105,505,825,32609,23046,45554,1.5,32.6,191.757,93.861,0.8
2006,Iowa,2983,6173,2385,1229,182,104,522,929,34434,24144,45908,0.4,32.7,196.156,94.68,0.81
2007,Iowa,2999,6444,2494,1272,195,114,563,961,36681,24947,47504,0.4,32.7,197.541,96.178,0.78
2008,Iowa,3017,6691,2598,1347,204,128,582,952,38787,25828,46413,-1.2,32.5,193.44,96.951,0.77
2009,Iowa,3033,6946,2723,1373,211,135,591,970,37365,25376,45195,-0.2,31.9,179.559,100,0.76
2010,Iowa,3051,7177,2852,1400,221,138,598,977,37946,25980,45884,2.9,32.3,179.413,103.278,0.75
2011,Iowa,3065,7416,2944,1430,229,141,614,1030,40857,27190,46523,0.2,32.4,183.109,103.422,0.72
2012,Iowa,3076,7648,3064,1475,241,156,626,1049,42580,27784,48001,0.6,32.5,187.157,104.341,0.72
2013,Iowa,3092,7806,3154,1490,252,163,633,1042,43189,28384,48002,0.5,32.5,190.307,104.656,0.75
2014,Iowa,3108,8200,3292,1553,262,176,662,1148,44315,29246,49566,0.6,32.5,194.555,105.729,0.74
2003,Kansas,2723,5149,1740,1361,153,83,385,752,30147,20541,40944,2.5,32.7,186.157,89.182,0.81
2004,Kansas,2734,5489,1885,1433,169,93,401,784,30669,21623,40748,2.6,32.7,188.63,91.953,0.82
2005,Kansas,2745,5786,2024,1487,182,99,428,815,32268,22587,41736,1.5,32.6,191.757,93.861,0.8
2006,Kansas,2763,6040,2170,1508,185,101,431,871,35353,23853,43593,0.4,32.7,196.156,94.68,0.81
2007,Kansas,2784,6352,2297,1571,199,107,462,904,37865,24792,45313,0.4,32.7,197.541,96.178,0.78
2008,Kansas,2808,6589,2403,1635,217,113,473,916,41179,25364,46050,-1.2,32.5,193.44,96.951,0.77
2009,Kansas,2833,6764,2490,1650,221,118,493,929,39204,24433,43770,-0.2,31.9,179.559,100,0.76
2010,Kansas,2859,6858,2560,1662,228,120,498,939,39206,24725,44243,2.9,32.3,179.413,103.278,0.75
2011,Kansas,2870,7152,2650,1731,234,127,531,998,42521,25830,45476,0.2,32.4,183.109,103.422,0.72
2012,Kansas,2885,7477,2828,1740,254,157,551,1058,44811,26466,45514,0.6,32.5,187.157,104.341,0.72
2013,Kansas,2893,7429,2827,1670,262,140,559,1044,45867,27133,45470,0.5,32.5,190.307,104.656,0.75
2014,Kansas,2899,7651,2964,1702,267,138,567,1119,46568,28093,46269,0.6,32.5,194.555,105.729,0.74
2003,Kentucky,4117,5086,1856,1259,142,137,352,857,26483,18934,36731,2.5,32.7,186.157,89.182,0.81
2004,Kentucky,4146,5405,1999,1307,154,133,366,911,27906,19904,37463,2.6,32.7,188.63,91.953,0.82
2005,Kentucky,4183,5668,2200,1312,157,145,379,913,29013,20939,38205,1.5,32.6,191.757,93.861,0.8
2006,Kentucky,4219,5977,2355,1344,163,141,400,962,30440,21945,38856,0.4,32.7,196.156,94.68,0.81
2007,Kentucky,4257,6201,2435,1355,172,148,431,997,31583,22429,38159,0.4,32.7,197.541,96.178,0.78
2008,Kentucky,4290,6360,2494,1401,184,147,446,1002,32966,22943,37875,-1.2,32.5,193.44,96.951,0.77
2009,Kentucky,4317,6698,2691,1438,190,151,447,1053,32304,22516,36209,-0.2,31.9,179.559,100,0.76
2010,Kentucky,4349,6898,2790,1463,200,148,452,1062,33026,23150,37579,2.9,32.3,179.413,103.278,0.75
2011,Kentucky,4369,7142,2886,1546,208,146,467,1107,34483,24004,37926,0.2,32.4,183.109,103.422,0.72
2012,Kentucky,4385,7289,2942,1636,215,140,464,1095,35577,24560,38052,0.6,32.5,187.157,104.341,0.72
